SID,L_STG,dprime,condition
1,0.03260837186,2.741992987,1
2,0.5787275579,2.876528877,1
3,0.4379457708,1.960296735,1
4,-0.07015910607,2.119657637,1
5,0.2672168827,2.790247465,1
6,0.6768846807,2.860515856,1
7,0.08748245798,2.358837482,1
8,0.2300452757,3.285341439,1
9,0.09841987376,2.68552568,1
10,0.1061548413,3.014326014,1
11,-0.01909809733,-0.8269106877,1
12,-0.02719061036,1.420753756,1
13,0.4404433787,2.526810736,1
14,0.1557983144,3.406907825,1
1,0.1267615006,3.344920943,2
2,0.04339534651,3.408898301,2
3,0.2035740203,3.428596912,2
4,0.1056790182,3.333747078,2
5,-0.2238367238,2.551055032,2
6,0.2743026824,3.628221664,2
7,-1.267347287,3.254694204,2
8,-0.08754416857,3.413698746,2
9,0.02182670546,3.348359243,2
10,0.1859187173,3.353542458,2
11,-0.1303845129,3.464440715,2
12,-0.1042824718,3.323873549,2
13,0.07394394833,3.43344209,2
14,0.09491827038,3.315830323,2
