SID,L_cIFS,dprime,condition
1,-0.04475114259,2.741992987,1
2,0.05048514672,2.876528877,1
3,0.07975491578,1.960296735,1
4,-0.020237358,2.119657637,1
5,0.6462652423,2.790247465,1
6,0.04584492349,2.860515856,1
7,-0.06922258374,2.358837482,1
8,0.02574340472,3.285341439,1
9,0.02255950614,2.68552568,1
10,-0.035094029,3.014326014,1
11,-0.06156283852,-0.8269106877,1
12,0.1314777688,1.420753756,1
13,0.005290634787,2.526810736,1
14,0.2160315401,3.406907825,1
1,0.03622530324,3.344920943,2
2,0.01099152428,3.408898301,2
3,0.1247490796,3.428596912,2
4,-0.05211412448,3.333747078,2
5,0.1668390973,2.551055032,2
6,-0.01072083089,3.628221664,2
7,-0.3064475882,3.254694204,2
8,-0.06299019337,3.413698746,2
9,-0.07443099332,3.348359243,2
10,0.1296772733,3.353542458,2
11,-0.2857247069,3.464440715,2
12,-0.04845738228,3.323873549,2
13,-0.152768885,3.43344209,2
14,0.09204447376,3.315830323,2
