SID,R_STG,dprime,condition
1,0.1219620885,2.741992987,1
2,0.6770346966,2.876528877,1
3,0.353712427,1.960296735,1
4,0.02539633126,2.119657637,1
5,0.06223484375,2.790247465,1
6,0.3818485307,2.860515856,1
7,0.1141332651,2.358837482,1
8,0.1424594492,3.285341439,1
9,-0.05132180025,2.68552568,1
10,-0.0448527458,3.014326014,1
11,-0.09517911594,-0.8269106877,1
12,0.9467829651,1.420753756,1
13,0.2690290522,2.526810736,1
14,0.4295288998,3.406907825,1
1,0.1151920616,3.344920943,2
2,0.1734343303,3.408898301,2
3,0.2407181033,3.428596912,2
4,0.2331658311,3.333747078,2
5,-0.2483154447,2.551055032,2
6,0.2371085453,3.628221664,2
7,-0.06340222681,3.254694204,2
8,-0.09148407979,3.413698746,2
9,-0.03710739588,3.348359243,2
10,0.08795190729,3.353542458,2
11,-0.1297550953,3.464440715,2
12,0.5342758314,3.323873549,2
13,0.233187352,3.43344209,2
14,0.2516308089,3.315830323,2
