SID,R_cIFS,dprime,condition
1,0.130593999,2.741992987,1
2,0.220519958,2.876528877,1
3,0.07242530899,1.960296735,1
4,0.2260223458,2.119657637,1
5,0.564600351,2.790247465,1
6,0.3957992681,2.860515856,1
7,0.4882432511,2.358837482,1
8,-0.04073368299,3.285341439,1
9,0.09113453378,2.68552568,1
10,-0.1249503252,3.014326014,1
11,0.05158939092,-0.8269106877,1
12,-0.1741036869,1.420753756,1
13,0.1733956208,2.526810736,1
14,0.3051411272,3.406907825,1
1,0.09092640395,3.344920943,2
2,0.003251856956,3.408898301,2
3,0.143827872,3.428596912,2
4,0.08853736851,3.333747078,2
5,0.03145792411,2.551055032,2
6,0.2597611677,3.628221664,2
7,0.3534833173,3.254694204,2
8,-0.06692268033,3.413698746,2
9,-0.04895520981,3.348359243,2
10,-0.1460443667,3.353542458,2
11,0.0003651247572,3.464440715,2
12,-0.07522168584,3.323873549,2
13,0.0005889628351,3.43344209,2
14,0.1095651985,3.315830323,2
