SID,LcIFS,dprime,condition
1,0.6477954802,0.8241947791,1
2,0.353947812,-0.2023603751,1
3,-0.0304329065,0.1966471112,1
4,0.747666565,0.2247470142,1
5,1.032177279,-0.5214901458,1
6,-0.4463538564,1.932988654,1
7,0.5398469974,0.826823549,1
8,0.3741468897,1.322907385,1
9,1.233932157,0.2855954263,1
10,0.1658240039,0.7718414503,1
11,0.6951151365,1.69948004,1
12,-0.05418078655,1.104705773,1
13,-0.03792695996,0.6173353773,1
14,-0.3466270598,1.335356057,1
1,0.6248429479,2.391991306,2
2,0.4065952136,1.903532175,2
3,0.6898455046,2.779762343,2
4,0.09668406222,2.89125537,2
5,0.343720539,1.091608541,2
6,0.2451745391,2.560602559,2
7,0.7059855697,1.411998631,2
8,0.3846234115,1.666962911,2
9,1.178232776,1.728108141,2
10,-0.1928621218,-0.2892164133,2
11,0.3429969497,2.622572744,2
12,-0.2530396621,2.207130407,2
13,0.3519217808,1.693533791,2
14,-0.3025149146,2.320515768,2
