SID,RcIFS,dprime,condition
1,0.3882092481,0.8241947791,1
2,0.1171861454,-0.2023603751,1
3,-0.00829260264,0.1966471112,1
4,0.7344236509,0.2247470142,1
5,0.7369793774,-0.5214901458,1
6,-0.2668676952,1.932988654,1
7,-0.05539086078,0.826823549,1
8,0.4557509386,1.322907385,1
9,1.464217626,0.2855954263,1
10,0.1305548819,0.7718414503,1
11,0.7607660531,1.69948004,1
12,-0.287375839,1.104705773,1
13,-0.3594560051,0.6173353773,1
14,0.02102860412,1.335356057,1
1,0.3732748279,2.391991306,2
2,0.1079317937,1.903532175,2
3,0.4161671235,2.779762343,2
4,-0.08605602739,2.89125537,2
5,0.2850305031,1.091608541,2
6,0.1888443558,2.560602559,2
7,0.1183097427,1.411998631,2
8,0.4949681291,1.666962911,2
9,1.804226945,1.728108141,2
10,-0.1317097877,-0.2892164133,2
11,0.4611228286,2.622572744,2
12,-0.5773730175,2.207130407,2
13,0.2745770961,1.693533791,2
14,-0.1092724383,2.320515768,2
