SID,L_STG,dprime,condition
1,-0.04663781533,2.741992987,1
2,0.4847248323,2.876528877,1
3,0.5695575115,1.960296735,1
4,0.0585335382,2.119657637,1
5,0.3768713514,2.790247465,1
6,0.813224832,2.860515856,1
7,-0.4624244465,2.358837482,1
8,0.3954613062,3.285341439,1
9,0.4544592697,2.68552568,1
10,-0.005369720324,3.014326014,1
11,0.1236270224,-0.8269106877,1
12,-0.002403340571,1.420753756,1
13,0.6703723636,2.526810736,1
14,0.06604357674,3.406907825,1
1,0.266632141,3.344920943,2
2,-0.05653549259,3.408898301,2
3,0.2832212887,3.428596912,2
4,0.05739911187,3.333747078,2
5,-0.1725726857,2.551055032,2
6,0.2747774382,3.628221664,2
7,-2.322863693,3.254694204,2
8,-0.03618234782,3.413698746,2
9,0.1999134148,3.348359243,2
10,0.1038039353,3.353542458,2
11,0.09084898053,3.464440715,2
12,-0.139787022,3.323873549,2
13,0.1030269856,3.43344209,2
14,0.01685512852,3.315830323,2
