SID,L_STG,dprime,condition
1,0.6344060419,2.741992987,1
2,-0.3856801997,2.876528877,1
3,-0.6195633389,1.960296735,1
4,0.09639507529,2.119657637,1
5,-0.4129359279,2.790247465,1
6,-0.7932865645,2.860515856,1
7,0.2734550176,2.358837482,1
8,-0.5821009691,3.285341439,1
9,-0.230090091,2.68552568,1
10,0.413196841,3.014326014,1
11,0.1408482531,-0.8269106877,1
12,-0.0663517232,1.420753756,1
13,-0.3968593783,2.526810736,1
14,0.4059426355,3.406907825,1
1,0.4550644794,3.344920943,2
2,0.04518817468,3.408898301,2
3,-0.2414579021,3.428596912,2
4,0.1461150402,3.333747078,2
5,-0.07724869546,2.551055032,2
6,-0.5903943967,3.628221664,2
7,1.131298952,3.254694204,2
8,0.1289987814,3.413698746,2
9,-0.06039217554,3.348359243,2
10,0.1824388844,3.353542458,2
11,0.132650559,3.464440715,2
12,-0.1564898651,3.323873549,2
13,-0.4630536158,3.43344209,2
14,0.1961240458,3.315830323,2
