SID,L_STG,dprime,condition
1,0.09857718119,2.741992987,1
2,0.8285302951,2.876528877,1
3,0.4472465001,1.960296735,1
4,0.4057731213,2.119657637,1
5,0.7297922883,2.790247465,1
6,0.8613187906,2.860515856,1
7,-0.02973097599,2.358837482,1
8,0.3982235651,3.285341439,1
9,0.376006935,2.68552568,1
10,-0.06865191956,3.014326014,1
11,-0.04113372811,-0.8269106877,1
12,-0.05987822579,1.420753756,1
13,0.7584209873,2.526810736,1
14,0.2566074967,3.406907825,1
1,0.1732146442,3.344920943,2
2,0.2935295575,3.408898301,2
3,-0.008955594821,3.428596912,2
4,0.09342627098,3.333747078,2
5,-0.08819598842,2.551055032,2
6,0.2507899942,3.628221664,2
7,-1.45091498,3.254694204,2
8,0.03006216321,3.413698746,2
9,0.1269017141,3.348359243,2
10,0.2087475484,3.353542458,2
11,-0.08857801585,3.464440715,2
12,-0.1985777735,3.323873549,2
13,-0.04580754861,3.43344209,2
14,0.04027842255,3.315830323,2
