SID,L_cIFS,dprime,condition
1,-0.321078099,2.741992987,1
2,0.5408138413,2.876528877,1
3,0.1163800244,1.960296735,1
4,-0.07054900985,2.119657637,1
5,0.8411211227,2.790247465,1
6,0.7143079813,2.860515856,1
7,-0.3519061635,2.358837482,1
8,0.50319176,3.285341439,1
9,0.5348456327,2.68552568,1
10,-0.05667164183,3.014326014,1
11,0.1198692865,-0.8269106877,1
12,0.1810685127,1.420753756,1
13,0.7186848245,2.526810736,1
14,-0.0673984362,3.406907825,1
1,0.02698057979,3.344920943,2
2,-0.01102009214,3.408898301,2
3,0.1670641228,3.428596912,2
4,-0.1770539967,3.333747078,2
5,0.09275192339,2.551055032,2
6,0.3721841959,3.628221664,2
7,-1.577975687,3.254694204,2
8,0.03740160049,3.413698746,2
9,0.2450639124,3.348359243,2
10,-0.1226214632,3.353542458,2
11,-0.09804614821,3.464440715,2
12,0.08594811848,3.323873549,2
13,0.08195745094,3.43344209,2
14,-0.04752198621,3.315830323,2
