SID,L_cIFS,dprime,condition
1,0.5441093857,2.741992987,1
2,-0.4682364435,2.876528877,1
3,-0.1905634286,1.960296735,1
4,0.5476924412,2.119657637,1
5,-0.7357100294,2.790247465,1
6,-0.7953424847,2.860515856,1
7,0.4870038312,2.358837482,1
8,-0.295970158,3.285341439,1
9,-0.1578488672,2.68552568,1
10,0.1388776179,3.014326014,1
11,0.2545840813,-0.8269106877,1
12,-0.0337412168,1.420753756,1
13,-0.3576685915,2.526810736,1
14,0.1095539181,3.406907825,1
1,0.4016596788,3.344920943,2
2,-0.07564394836,3.408898301,2
3,-0.2004774038,3.428596912,2
4,0.3013278128,3.333747078,2
5,-0.07986722793,2.551055032,2
6,-0.5821750066,3.628221664,2
7,1.297507763,3.254694204,2
8,0.1772286026,3.413698746,2
9,-0.008534249479,3.348359243,2
10,0.03104597418,3.353542458,2
11,0.3875960282,3.464440715,2
12,0.1069959055,3.323873549,2
13,0.01864064221,3.43344209,2
14,-0.04970803228,3.315830323,2
