SID,R_STG,dprime,condition
1,0.09354144772,2.741992987,1
2,0.4588057594,2.876528877,1
3,0.510406214,1.960296735,1
4,-0.03888725666,2.119657637,1
5,0.3687282937,2.790247465,1
6,0.7888973979,2.860515856,1
7,0.2356305984,2.358837482,1
8,0.5154869709,3.285341439,1
9,0.5940962326,2.68552568,1
10,-0.1893310934,3.014326014,1
11,0.08318109966,-0.8269106877,1
12,0.4727435588,1.420753756,1
13,0.8869426687,2.526810736,1
14,0.0199162132,3.406907825,1
1,0.1251456458,3.344920943,2
2,0.06904751714,3.408898301,2
3,0.4332998649,3.428596912,2
4,0.2755218066,3.333747078,2
5,-0.2449616767,2.551055032,2
6,0.4156778709,3.628221664,2
7,-1.214398148,3.254694204,2
8,0.1450812455,3.413698746,2
9,0.2863752843,3.348359243,2
10,-0.2240994487,3.353542458,2
11,0.02222004737,3.464440715,2
12,0.3242974915,3.323873549,2
13,0.3265075191,3.43344209,2
14,-0.06494320691,3.315830323,2
