SID,R_STG,dprime,condition
1,0.3988652232,2.741992987,1
2,-0.2852280051,2.876528877,1
3,-0.7139065868,1.960296735,1
4,0.2919017522,2.119657637,1
5,-0.3346832109,2.790247465,1
6,-0.6601404258,2.860515856,1
7,0.03334229647,2.358837482,1
8,-0.6188732316,3.285341439,1
9,-0.2388826343,2.68552568,1
10,-0.1287288387,3.014326014,1
11,0.3030001324,-0.8269106877,1
12,-0.2108730157,1.420753756,1
13,-0.5331366271,2.526810736,1
14,0.3878328597,3.406907825,1
1,0.3811771985,3.344920943,2
2,0.2262622973,3.408898301,2
3,-0.4415273701,3.428596912,2
4,0.2070076651,3.333747078,2
5,0.2181781739,2.551055032,2
6,-0.5543948157,3.628221664,2
7,0.9120701635,3.254694204,2
8,-0.1363513811,3.413698746,2
9,-0.05459229734,3.348359243,2
10,-0.1634872068,3.353542458,2
11,0.2121314912,3.464440715,2
12,-0.2375444982,3.323873549,2
13,-0.5557791227,3.43344209,2
14,0.2958600946,3.315830323,2
