SID,R_STG,dprime,condition
1,0.1002388068,2.741992987,1
2,0.6863883229,2.876528877,1
3,0.4615893594,1.960296735,1
4,0.4707790201,2.119657637,1
5,0.7048999651,2.790247465,1
6,0.8798869285,2.860515856,1
7,1.270723059,2.358837482,1
8,0.5574702958,3.285341439,1
9,0.4746604307,2.68552568,1
10,-0.1828176306,3.014326014,1
11,-0.1269332192,-0.8269106877,1
12,0.04312226006,1.420753756,1
13,1.083025279,2.526810736,1
14,0.3214020785,3.406907825,1
1,0.02749723501,3.344920943,2
2,0.166628266,3.408898301,2
3,0.03194767753,3.428596912,2
4,0.4379436355,3.333747078,2
5,-0.06457987386,2.551055032,2
6,0.4365884279,3.628221664,2
7,-1.862596038,3.254694204,2
8,0.2049489273,3.413698746,2
9,0.210326771,3.348359243,2
10,-0.2614646217,3.353542458,2
11,-0.2771021435,3.464440715,2
12,0.009890083757,3.323873549,2
13,0.2629030877,3.43344209,2
14,-0.2173980989,3.315830323,2
