SID,R_cIFS,dprime,condition
1,-0.01680021914,2.741992987,1
2,0.3917021212,2.876528877,1
3,0.3809037209,1.960296735,1
4,0.2242090571,2.119657637,1
5,0.6934035263,2.790247465,1
6,0.7066733178,2.860515856,1
7,-0.1106258326,2.358837482,1
8,0.3923188245,3.285341439,1
9,0.4735726534,2.68552568,1
10,-0.1510672487,3.014326014,1
11,0.1225696562,-0.8269106877,1
12,-0.02622869793,1.420753756,1
13,0.8042429299,2.526810736,1
14,-0.09549986173,3.406907825,1
1,0.02151589695,3.344920943,2
2,-0.1067914929,3.408898301,2
3,0.3337105035,3.428596912,2
4,0.02266688161,3.333747078,2
5,0.06281835445,2.551055032,2
6,0.3472600019,3.628221664,2
7,-0.8988640198,3.254694204,2
8,0.09611977863,3.413698746,2
9,0.2259257174,3.348359243,2
10,-0.1236101704,3.353542458,2
11,0.1039979275,3.464440715,2
12,0.1928631488,3.323873549,2
13,0.1555279793,3.43344209,2
14,-0.1397076916,3.315830323,2
