SID,R_cIFS,dprime,condition
1,0.5377103711,2.741992987,1
2,-0.3055544391,2.876528877,1
3,-0.4807592966,1.960296735,1
4,0.01865875407,2.119657637,1
5,-0.6168023941,2.790247465,1
6,-0.674899628,2.860515856,1
7,0.4882202683,2.358837482,1
8,-0.4824646837,3.285341439,1
9,-0.2648715967,2.68552568,1
10,0.2424960096,3.014326014,1
11,0.3036014321,-0.8269106877,1
12,-0.1952750977,1.420753756,1
13,-0.5150995797,2.526810736,1
14,0.03197344839,3.406907825,1
1,0.5309245597,3.344920943,2
2,0.1656239234,3.408898301,2
3,-0.3788097958,3.428596912,2
4,-0.004235782186,3.333747078,2
5,0.06029615303,2.551055032,2
6,-0.4971574906,3.628221664,2
7,1.09458444,3.254694204,2
8,-0.05155646509,3.413698746,2
9,-0.06110482839,3.348359243,2
10,0.2691961377,3.353542458,2
11,0.4194489916,3.464440715,2
12,0.1060763434,3.323873549,2
13,-0.4426201612,3.43344209,2
14,0.01372145674,3.315830323,2
