SID,L_STG,dprime,condition
1,0.646810896,1.177386503,1
2,0.6327942915,1.403790328,1
3,0.5921893958,1.688300238,1
4,0.09366272254,2.778863248,1
5,0.3244226525,0.7653828278,1
6,-0.3160032666,2.387042667,1
7,0.06656785596,2.731400971,1
8,0.8535494512,1.293574577,1
9,0.3067467392,1.736274451,1
10,0.7807670291,1.702585972,1
11,0.7133950962,1.685439035,1
12,0.305825025,1.646772231,1
13,1.022080511,1.170538809,1
14,0.4033774731,1.779620493,1
1,0.6724023574,2.661571073,2
2,0.2301589619,3.14742916,2
3,0.1623150353,2.27220574,2
4,-0.2285887191,2.770243258,2
5,0.03072159771,3.24289038,2
6,0.4144885914,2.710380925,2
7,0.1592882614,3.158232339,2
8,-0.3800480876,3.248135357,2
9,0.2567132078,2.329418594,2
10,0.4466702463,1.46993946,2
11,0.2820504373,0.3285476914,2
12,0.4115016784,3.210813593,2
13,0.2295068563,2.577840027,2
14,0.3823967496,2.647445114,2
