SID,L_STG,dprime,condition
1,-0.6773752004,1.177386503,1
2,-0.5202936888,1.403790328,1
3,-0.2642451908,1.688300238,1
4,-0.4672545037,2.778863248,1
5,0.6163205758,0.7653828278,1
6,-0.2762534019,2.387042667,1
7,-1.107320499,2.731400971,1
8,-0.9798942729,1.293574577,1
9,-0.2900649094,1.736274451,1
10,-1.307082335,1.702585972,1
11,-0.7673279471,1.685439035,1
12,-0.6108007954,1.646772231,1
13,-0.5819621076,1.170538809,1
14,-0.8359305576,1.779620493,1
1,-0.5913819634,2.661571073,2
2,-0.2845144818,3.14742916,2
3,-0.02019106749,2.27220574,2
4,-0.5873357957,2.770243258,2
5,0.1623552254,3.24289038,2
6,0.2466975167,2.710380925,2
7,-1.220634599,3.158232339,2
8,0.370239874,3.248135357,2
9,-0.05493771466,2.329418594,2
10,-1.010660164,1.46993946,2
11,-0.6321521893,0.3285476914,2
12,-0.7525695212,3.210813593,2
13,-0.5908231569,2.577840027,2
14,-0.8227846656,2.647445114,2
