SID,L_STG,dprime,condition
1,1.096766648,1.177386503,1
2,0.9879246983,1.403790328,1
3,0.5520236502,1.688300238,1
4,0.1182635572,2.778863248,1
5,0.4485059472,0.7653828278,1
6,0.05102278467,2.387042667,1
7,-0.1542468267,2.731400971,1
8,0.7271309548,1.293574577,1
9,0.4318315812,1.736274451,1
10,0.7183136328,1.702585972,1
11,0.9524179598,1.685439035,1
12,0.4354522241,1.646772231,1
13,1.362216204,1.170538809,1
14,0.3924548361,1.779620493,1
1,0.9399797356,2.661571073,2
2,0.4541177654,3.14742916,2
3,0.03532284477,2.27220574,2
4,-0.3209524955,2.770243258,2
5,-0.09210808426,3.24289038,2
6,0.2812740388,2.710380925,2
7,0.1080793518,3.158232339,2
8,-0.5037702201,3.248135357,2
9,0.434119829,2.329418594,2
10,0.8467601835,1.46993946,2
11,0.6952736789,0.3285476914,2
12,0.5336377914,3.210813593,2
13,0.4950135574,2.577840027,2
14,0.3538485209,2.647445114,2
