SID,L_cIFS,dprime,condition
1,0.6907001376,1.177386503,1
2,0.9396831735,1.403790328,1
3,0.4845726964,1.688300238,1
4,0.2758144078,2.778863248,1
5,0.2365562565,0.7653828278,1
6,-0.2425844565,2.387042667,1
7,0.9092932253,2.731400971,1
8,0.8341117047,1.293574577,1
9,0.4033663419,1.736274451,1
10,0.7580257589,1.702585972,1
11,1.133087814,1.685439035,1
12,0.3858077954,1.646772231,1
13,1.098650867,1.170538809,1
14,0.2668800113,1.779620493,1
1,0.5429134155,2.661571073,2
2,0.3982916307,3.14742916,2
3,0.3369984725,2.27220574,2
4,0.1028819487,2.770243258,2
5,0.05019090729,3.24289038,2
6,-0.3148557134,2.710380925,2
7,1.003941221,3.158232339,2
8,-0.2690768039,3.248135357,2
9,0.4027035256,2.329418594,2
10,0.5664241383,1.46993946,2
11,0.6418822088,0.3285476914,2
12,0.4107623811,3.210813593,2
13,0.2211658194,2.577840027,2
14,0.3116019265,2.647445114,2
