SID,L_cIFS,dprime,condition
1,-0.5285535308,1.177386503,1
2,-0.5902964009,1.403790328,1
3,-0.1825094466,1.688300238,1
4,-0.9804673853,2.778863248,1
5,0.8639799418,0.7653828278,1
6,0.02198115567,2.387042667,1
7,-1.073008331,2.731400971,1
8,-0.6728809523,1.293574577,1
9,-0.6061382741,1.736274451,1
10,-1.11053371,1.702585972,1
11,-1.173678976,1.685439035,1
12,-0.4307601923,1.646772231,1
13,-0.6502589917,1.170538809,1
14,-0.688666662,1.779620493,1
1,-0.3740753309,2.661571073,2
2,-0.2298714237,3.14742916,2
3,-0.2084892281,2.27220574,2
4,-1.319111741,2.770243258,2
5,-2.150743394,3.24289038,2
6,0.06440534408,2.710380925,2
7,-1.251385126,3.158232339,2
8,0.4496828294,3.248135357,2
9,-0.4429309063,2.329418594,2
10,-0.2386083325,1.46993946,2
11,-1.301901367,0.3285476914,2
12,-0.5232588416,3.210813593,2
13,-0.6563153112,2.577840027,2
14,-0.8199091033,2.647445114,2
