SID,L_cIFS,dprime,condition
1,0.8519126145,1.177386503,1
2,0.9830924409,1.403790328,1
3,0.5289015894,1.688300238,1
4,0.2810130769,2.778863248,1
5,0.3296253973,0.7653828278,1
6,0.3482714559,2.387042667,1
7,0.9271515135,2.731400971,1
8,0.6722788976,1.293574577,1
9,0.5797632277,1.736274451,1
10,0.6498787051,1.702585972,1
11,1.212306256,1.685439035,1
12,0.4466526105,1.646772231,1
13,1.481089439,1.170538809,1
14,0.2742197835,1.779620493,1
1,0.5949641564,2.661571073,2
2,0.440834198,3.14742916,2
3,0.244411359,2.27220574,2
4,0.02001502783,2.770243258,2
5,-0.07584958855,3.24289038,2
6,-0.3316162037,2.710380925,2
7,1.286926799,3.158232339,2
8,-0.3392717415,3.248135357,2
9,0.5585830939,2.329418594,2
10,0.6768311757,1.46993946,2
11,0.9092636064,0.3285476914,2
12,0.397827465,3.210813593,2
13,0.480529963,2.577840027,2
14,0.3026401639,2.647445114,2
