SID,R_STG,dprime,condition
1,0.1158186386,1.177386503,1
2,0.3623516686,1.403790328,1
3,1.017286164,1.688300238,1
4,0.3246209213,2.778863248,1
5,0.6177734118,0.7653828278,1
6,-0.1291304125,2.387042667,1
7,0.2098380894,2.731400971,1
8,1.347272092,1.293574577,1
9,0.2126630976,1.736274451,1
10,0.4979256154,1.702585972,1
11,0.8004474722,1.685439035,1
12,0.3558013207,1.646772231,1
13,1.13371273,1.170538809,1
14,0.4064999215,1.779620493,1
1,0.2802417322,2.661571073,2
2,0.3580567909,3.14742916,2
3,0.2375045687,2.27220574,2
4,-0.1795893791,2.770243258,2
5,0.3586033078,3.24289038,2
6,0.6706735292,2.710380925,2
7,0.2615370721,3.158232339,2
8,-0.2182182378,3.248135357,2
9,0.1141919441,2.329418594,2
10,0.6955329001,1.46993946,2
11,0.4646180428,0.3285476914,2
12,0.2473594301,3.210813593,2
13,0.2034475669,2.577840027,2
14,0.3844533597,2.647445114,2
