SID,R_STG,dprime,condition
1,-0.4473163025,1.177386503,1
2,-0.1700172029,1.403790328,1
3,-0.5830585958,1.688300238,1
4,-0.3604837301,2.778863248,1
5,-0.8050191715,0.7653828278,1
6,0.4827058732,2.387042667,1
7,-0.6797428302,2.731400971,1
8,-0.9984057239,1.293574577,1
9,-0.2548376816,1.736274451,1
10,-1.470901077,1.702585972,1
11,-0.8567341561,1.685439035,1
12,-0.6165639707,1.646772231,1
13,-0.7005607366,1.170538809,1
14,-0.8482229275,1.779620493,1
1,-0.5467624455,2.661571073,2
2,-0.5073795016,3.14742916,2
3,-0.3057036523,2.27220574,2
4,-0.5003300148,2.770243258,2
5,-0.4812974309,3.24289038,2
6,-0.2464333182,2.710380925,2
7,-0.7577308229,3.158232339,2
8,0.126880775,3.248135357,2
9,0.07636522643,2.329418594,2
10,-0.577724029,1.46993946,2
11,-0.9959937715,0.3285476914,2
12,-0.5921209769,3.210813593,2
13,-0.7579867476,2.577840027,2
14,-0.8365700932,2.647445114,2
