SID,R_STG,dprime,condition
1,1.029821053,1.177386503,1
2,0.8300862184,1.403790328,1
3,0.7339521758,1.688300238,1
4,0.3862775603,2.778863248,1
5,0.7640337385,0.7653828278,1
6,0.5097818528,2.387042667,1
7,0.1612597557,2.731400971,1
8,1.00741832,1.293574577,1
9,0.2814295467,1.736274451,1
10,0.89699014,1.702585972,1
11,1.019573602,1.685439035,1
12,0.4341548065,1.646772231,1
13,1.455520683,1.170538809,1
14,0.4135609873,1.779620493,1
1,0.9235551099,2.661571073,2
2,0.4809719349,3.14742916,2
3,0.0545237399,2.27220574,2
4,-0.241031085,2.770243258,2
5,0.02631364503,3.24289038,2
6,0.3710391962,2.710380925,2
7,0.3883247486,3.158232339,2
8,-0.4120453355,3.248135357,2
9,0.267516928,2.329418594,2
10,0.8486146559,1.46993946,2
11,0.8152032801,0.3285476914,2
12,0.3174864965,3.210813593,2
13,0.3584292887,2.577840027,2
14,0.3139424783,2.647445114,2
