SID,R_cIFS,dprime,condition
1,0.5025259528,1.177386503,1
2,0.9948759216,1.403790328,1
3,0.1744129739,1.688300238,1
4,0.3255020455,2.778863248,1
5,0.6681735684,0.7653828278,1
6,-0.01675529187,2.387042667,1
7,0.3036420213,2.731400971,1
8,1.195589811,1.293574577,1
9,0.1361134593,1.736274451,1
10,0.6315369732,1.702585972,1
11,1.048723595,1.685439035,1
12,0.4288751417,1.646772231,1
13,0.9322274706,1.170538809,1
14,0.3768614304,1.779620493,1
1,0.6585564172,2.661571073,2
2,0.6595558532,3.14742916,2
3,0.03271550457,2.27220574,2
4,-0.06491423464,2.770243258,2
5,0.101404699,3.24289038,2
6,0.1256544084,2.710380925,2
7,0.3460191439,3.158232339,2
8,-0.2798419024,3.248135357,2
9,0.246509108,2.329418594,2
10,0.7108197487,1.46993946,2
11,0.5848290745,0.3285476914,2
12,0.4471321137,3.210813593,2
13,0.3185494544,2.577840027,2
14,0.3828927281,2.647445114,2
