SID,R_cIFS,dprime,condition
1,-0.4797445965,1.177386503,1
2,-0.5879585818,1.403790328,1
3,-0.4548381584,1.688300238,1
4,-0.4909818459,2.778863248,1
5,-0.2370781996,0.7653828278,1
6,-0.06816181457,2.387042667,1
7,-0.6891684414,2.731400971,1
8,-0.7916212818,1.293574577,1
9,-0.2637508126,1.736274451,1
10,-0.2033257187,1.702585972,1
11,-0.7453967979,1.685439035,1
12,-0.5636155812,1.646772231,1
13,-0.5863167866,1.170538809,1
14,-0.8606096064,1.779620493,1
1,-0.3096792681,2.661571073,2
2,-0.5525335806,3.14742916,2
3,-0.2078154084,2.27220574,2
4,-0.4663486782,2.770243258,2
5,-0.7633591232,3.24289038,2
6,0.4716433803,2.710380925,2
7,-0.9771318549,3.158232339,2
8,0.3272353648,3.248135357,2
9,-0.3378235462,2.329418594,2
10,0.2838273736,1.46993946,2
11,-1.166997665,0.3285476914,2
12,-0.7088706455,3.210813593,2
13,-0.7525355566,2.577840027,2
14,-0.9573063949,2.647445114,2
