SID,R_cIFS,dprime,condition
1,1.057090234,1.177386503,1
2,1.203854799,1.403790328,1
3,0.4000669874,1.688300238,1
4,0.3036847716,2.778863248,1
5,0.991824248,0.7653828278,1
6,0.814331592,2.387042667,1
7,0.3879823583,2.731400971,1
8,0.5871902221,1.293574577,1
9,0.3104933489,1.736274451,1
10,0.5616086397,1.702585972,1
11,1.314579078,1.685439035,1
12,0.3440057778,1.646772231,1
13,1.097898845,1.170538809,1
14,0.4179251073,1.779620493,1
1,1.184248162,2.661571073,2
2,0.6286754346,3.14742916,2
3,0.01858568895,2.27220574,2
4,-0.1437776367,2.770243258,2
5,-0.2510374915,3.24289038,2
6,0.09595624226,2.710380925,2
7,0.5577243114,3.158232339,2
8,-0.2867824548,3.248135357,2
9,0.4128746488,2.329418594,2
10,0.4681439489,1.46993946,2
11,0.8561716389,0.3285476914,2
12,0.3346227833,3.210813593,2
13,0.4323759483,2.577840027,2
14,0.3548930872,2.647445114,2
